Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
javapoet,com.squareup.javapoet,AnnotationSpec,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.CodeWriter
javapoet,com.squareup.javapoet,AnnotationSpec,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VALUE
javapoet,com.squareup.javapoet,AnnotationSpec.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
javapoet,com.squareup.javapoet,ArrayTypeName,Law of Demeter violation,The tool detected the smell in this method (emitBrackets) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ArrayTypeName.emitBrackets; com.squareup.javapoet.TypeName.asArray
javapoet,com.squareup.javapoet,ClassName,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OBJECT
javapoet,com.squareup.javapoet,ClassName,Law of Demeter violation,The tool detected the smell in this method (simpleNames) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.simpleNames; com.squareup.javapoet.ClassName.enclosingClassName
javapoet,com.squareup.javapoet,ClassName,Law of Demeter violation,The tool detected the smell in this method (get) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.get; com.squareup.javapoet.ClassName.nestedClass
javapoet,com.squareup.javapoet,CodeBlock.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
javapoet,com.squareup.javapoet,CodeWriter,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.LineWrapper
javapoet,com.squareup.javapoet,CodeWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
javapoet,com.squareup.javapoet,CodeWriter,Law of Demeter violation,The tool detected the smell in this method (lookupName) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.ClassName.topLevelClassName; com.squareup.javapoet.ClassName.simpleName
javapoet,com.squareup.javapoet,FieldSpec,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.CodeWriter
javapoet,com.squareup.javapoet,FieldSpec.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
javapoet,com.squareup.javapoet,JavaFile,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.CodeWriter
javapoet,com.squareup.javapoet,JavaFile.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
javapoet,com.squareup.javapoet,MethodSpec,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.squareup.javapoet.CodeWriter
javapoet,com.squareup.javapoet,MethodSpec,Law of Demeter violation,The tool detected the smell in this method (emit) because the method voilates the law of Demeter. The long chain of method invocations is : com.squareup.javapoet.CodeWriter.emitAndIndent; com.squareup.javapoet.CodeWriter.emitWrappingSpace
